epoch,train_loss,train_acc,train_time,val_loss,val_acc
0,3.1010029582550733,18.11,86.295823097229,2.0675023748904846,21.94
1,1.7780344425298917,31.6,85.02088165283203,1.9169773798954637,29.13
2,1.6083789888662272,39.6275,84.86337423324585,1.6071477313584919,40.95
3,1.4353885863916562,46.8825,84.96997046470642,1.6084048838555058,42.33
4,1.299222162356392,53.005,85.03618049621582,1.498524018480808,48.68
5,1.2176705261769767,56.0375,85.09546732902527,1.4863061180597619,50.11
6,1.155373743357369,58.95,84.9796073436737,1.1715640259694449,57.78
7,1.0718749626375996,62.1775,85.05833697319031,1.1244360366954078,60.59
8,1.0095096731338258,64.4225,85.03456974029541,1.314962530437904,57.37
9,0.934825316214333,67.5875,84.95913124084473,1.2276316254953794,60.18
10,0.8808779339439953,69.78,85.01089000701904,0.9428229897837096,67.28
11,0.8364173798515393,72.0,84.99571084976196,1.0537942149971105,64.27
12,0.817544012023999,72.7625,84.92901682853699,0.9240719208234474,69.49
13,0.7827473892190586,74.1675,84.98082304000854,0.984612326078777,67.87
14,0.765369790621078,74.855,85.02807092666626,0.9602141893362697,68.8
15,0.7538281835306185,75.435,84.9715940952301,1.5448989460739908,57.84
16,0.739974989201695,76.0625,84.91615843772888,0.8564184240148037,72.4
17,0.7553740095216245,75.61,85.00807571411133,0.8893028263804279,71.74
18,126.24790265565863,60.46,84.92791771888733,288755881646.98737,10.18
19,1262.1248936980678,10.435,84.882244348526,2.3317753483977497,9.99
20,2.323913309139946,9.8525,84.77678608894348,2.3256036541129967,10.23
21,2.321204792577238,9.85,84.75552177429199,2.336087254029286,9.85
22,2.3207961949296654,10.1175,84.73231768608093,2.3394617008257517,9.84
23,2.3219118575318554,10.0925,84.70692157745361,2.313940748383727,9.9
24,2.3243351157861776,9.88,84.67450594902039,2.3180897688563866,9.81
25,2.3242443133466923,9.8475,84.6137216091156,2.334832879561412,10.18
26,2.3203438691818676,9.9225,84.61007642745972,2.309230620348001,9.91
27,2.3208822952672694,9.77,84.52805352210999,2.3285562509222877,9.81
28,30.657169883624434,9.9925,84.49577260017395,2.733310841306855,10.18
29,2.3252190081075357,10.11,84.54298877716064,2.331575230707096,9.97
30,2.319021278296035,9.98,84.53188824653625,2.358862698832645,9.9
31,2.3221231291469295,10.035,84.56550598144531,2.3569267460062533,10.24
32,2.322802095748365,10.0975,84.55882573127747,2.40561812738829,10.24
33,2.321508751128809,9.68,84.54503297805786,2.4002003549020503,10.25
34,2.3244430394218374,9.8525,84.48459243774414,2.316994383365293,10.23
35,2.353897792462724,9.965,84.52743363380432,2.33488716354853,9.9
36,2.3198834745266947,10.085,84.5501058101654,2.3190988770014123,10.18
37,2.3227412677801453,10.11,84.54878044128418,2.3197740935072115,10.18
38,2.3383818449684606,9.9475,84.4515872001648,2.424474800689311,9.84
39,2.321412570179461,9.9,84.54961276054382,2.349602451807336,9.94
40,2.322689687101224,10.0225,84.5478584766388,2.3569560292400893,10.22
41,2.323013852579525,9.8775,84.5293538570404,2.3308406781546678,9.86
42,2.3182105431541467,9.9375,84.51429390907288,2.3114921533608737,10.18
43,2.3212918130734477,9.755,84.57150340080261,11.342897348766085,9.86
44,2.326924345363824,9.895,84.53193974494934,2.3536863568462905,10.19
45,2.3579412824429644,10.01,84.51371145248413,2.334844042983236,9.91
46,2162361.749800235,10.1125,84.45424699783325,167082.4409790703,9.86
47,6.696090718046926,9.96,84.60347771644592,283.9727118256726,9.96
48,74.27304361194086,9.9575,84.48907852172852,139051.5108500372,9.85
49,2.319919090301465,10.005,84.53775238990784,14534.559508851811,9.81
50,2.3241826802396925,10.1925,84.51984190940857,29778.503034326095,9.89
51,2.3215400113846165,9.8575,84.54144048690796,96892.11212147339,9.92
52,2.3210570652263995,9.865,84.52372312545776,55247.02121975452,10.16
53,2.323106692621883,9.81,84.48612260818481,12284.974508448493,10.06
54,2.322865734465968,10.03,84.4568977355957,188.6970524848262,9.81
55,2.3220791816711426,10.06,84.57103776931763,3408.4710911316206,10.23
56,1340603.0256336383,9.86,84.50297904014587,3139221785016.709,9.9
57,41110.0916430973,9.9825,84.52563858032227,2.348709290540671,10.18
58,2.3194052358024035,9.7375,84.4665915966034,2.3119555394860765,10.23
59,2.319527440177747,9.995,84.61401534080505,2.323947112771529,9.9
60,2.32069150784526,9.58,84.48065495491028,2.3277344190621676,10.05
61,3.3010389576323877,9.8675,84.52127385139465,2.334784239153319,10.25
62,2.3192407863970383,9.8,84.53094935417175,2.336462902117379,10.23
63,2.3409593379535614,9.7325,84.57678389549255,2.3130096936527687,9.86
64,2.323774500015064,10.0125,84.46863794326782,2.3173462922060035,9.9
65,2.321015369397002,9.9425,84.48853254318237,2.3313386410097534,9.86
66,2.3242277352573772,10.18,84.52828097343445,2.3192770360391353,9.81
67,2.3212586881253667,10.0475,84.53461718559265,2.313234166253971,9.86
68,2.318137288474427,10.0075,84.62848687171936,2.3175436726099328,10.23
69,2.3197690457962574,10.1425,84.5650680065155,2.3447324565694303,9.81
70,2.3221780621586516,10.0775,84.51313185691833,2.3219314194932767,9.98
71,2.3211441215234823,9.82,84.62243032455444,2.323098366773581,10.25
72,2.319533256677012,10.1525,84.60499882698059,2.313281807718398,10.18
73,2.320747220858979,10.015,84.54203939437866,2.3131895125666753,9.98
74,2.3204899146534004,9.8025,84.55609726905823,2.3303570777555054,9.9
75,2.322249969354453,9.9425,84.46864414215088,2.321074259432056,10.18
76,2.3221025543091014,9.9675,84.39772486686707,2.325826475891886,9.9
77,2.3202487599735444,10.105,84.43225049972534,2.3332001981855948,10.18
78,2.322962712936889,9.84,84.40631055831909,2.316751513300063,10.23
79,2.3218550788708767,10.305,84.4133780002594,2.3385477035860474,10.18
80,2.3211193397022285,9.77,84.41087555885315,2.3096395353727703,9.84
81,2.321158668865411,9.9525,84.47960686683655,2.305058349536944,10.18
82,2.3239688210594007,9.8725,84.43932628631592,2.3157087519199036,9.81
83,2.3192804865182017,9.9825,84.42635297775269,2.3272965980481497,9.84
84,2.3207310083956,10.125,84.50189208984375,2.318061412135257,9.81
85,2.3181784061578137,10.1475,84.50577688217163,2.314486766163307,10.25
86,2.3201090672526496,9.8825,84.5551540851593,2.3301658539832393,9.81
87,2.322368768838267,9.9225,84.54121398925781,2.3264120862453797,9.98
88,2.323317702205036,9.8225,84.54296779632568,2.3204157080831407,9.9
89,2.322276372879077,10.0875,84.53414916992188,2.3119692772249634,9.9
90,2.3205975275070143,9.7925,84.54344820976257,2.326778994330877,9.86
91,2.3189038659056154,10.195,84.55453395843506,2.308283117753041,10.25
92,2.3185359098659917,10.2825,84.58729100227356,2.323113489754592,9.9
93,2.3211791941913935,10.0125,84.61842489242554,2.3239206905606427,9.98
94,2.319983473981912,10.0825,84.50057363510132,2.3245675956146625,9.86
95,2.3208860231283754,10.1075,84.63800430297852,2.322561493402795,9.9
96,2.3205390060290743,10.065,84.51832699775696,2.3123953221719478,9.98
97,2.3210300264267114,9.7925,84.56771969795227,2.318571911582464,10.23
98,2.322076869848818,9.95,84.51920080184937,2.3203796978238262,9.9
99,2.3207330856079493,9.93,84.61541175842285,2.3164913624147827,9.81
